Scotland's Census 2011 - National Records of Scotland,,,,
Table DC1117SC - Age by sex,,,,
All people,,,,
,,,,
,,All people,Males,Females
Fife,68,"3,783","1,800","1,983"
Fife,69,"3,478","1,706","1,772"
Fife,70,"3,143","1,486","1,657"
Fife,71,"3,310","1,515","1,795"
Fife,72,"3,168","1,487","1,681"
Fife,73,"3,012","1,401","1,611"
Fife,74,"3,019","1,352","1,667"
Fife,75,"2,862","1,281","1,581"
Fife,76,"2,613","1,141","1,472"
Fife,77,"2,477","1,113","1,364"
Fife,78,"2,280","1,012","1,268"
Fife,79,"2,193",972,"1,221"
Fife,80,"2,065",833,"1,232"
Fife,81,"1,887",748,"1,139"
Fife,82,"1,756",729,"1,027"
Fife,83,"1,542",626,916
Fife,84,"1,480",585,895
Fife,85 to 89,"5,188","1,781","3,407"
Fife,90 to 94,"1,977",574,"1,403"
Fife,95 and over,570,105,465
Forth Valley,All people,"297,636","144,475","153,161"
Forth Valley,Under 1,"3,229","1,633","1,596"
Forth Valley,1,"3,421","1,706","1,715"
Forth Valley,2,"3,370","1,667","1,703"
Forth Valley,3,"3,353","1,695","1,658"
Forth Valley,4,"3,310","1,731","1,579"
Forth Valley,5,"3,307","1,658","1,649"
Forth Valley,6,"3,247","1,688","1,559"
Forth Valley,7,"3,220","1,673","1,547"
Forth Valley,8,"3,083","1,599","1,484"
Forth Valley,9,"3,052","1,599","1,453"
Forth Valley,10,"3,254","1,626","1,628"
Forth Valley,11,"3,418","1,740","1,678"
Forth Valley,12,"3,566","1,840","1,726"
Forth Valley,13,"3,612","1,858","1,754"
Forth Valley,14,"3,660","1,889","1,771"
Forth Valley,15,"3,630","1,873","1,757"
Forth Valley,16,"3,657","1,845","1,812"
Forth Valley,17,"3,599","1,835","1,764"
Forth Valley,18,"3,984","2,032","1,952"
Forth Valley,19,"4,293","2,162","2,131"
Forth Valley,20,"4,225","2,157","2,068"
Forth Valley,21,"3,866","1,859","2,007"
Forth Valley,22,"3,560","1,779","1,781"
Forth Valley,23,"3,851","1,885","1,966"
Forth Valley,24,"3,393","1,670","1,723"
Forth Valley,25,"3,413","1,676","1,737"
Forth Valley,26,"3,455","1,677","1,778"
Forth Valley,27,"3,296","1,636","1,660"
Forth Valley,28,"3,418","1,616","1,802"
Forth Valley,29,"3,500","1,654","1,846"
Forth Valley,30,"3,498","1,702","1,796"
Forth Valley,31,"3,592","1,769","1,823"
Forth Valley,32,"3,516","1,713","1,803"
Forth Valley,33,"3,349","1,626","1,723"
Forth Valley,34,"3,392","1,640","1,752"
Forth Valley,35,"3,629","1,761","1,868"
Forth Valley,36,"3,776","1,832","1,944"
Forth Valley,37,"3,879","1,873","2,006"
Forth Valley,38,"4,168","1,921","2,247"
Forth Valley,39,"4,607","2,263","2,344"
Forth Valley,40,"4,541","2,203","2,338"
Forth Valley,41,"4,521","2,257","2,264"
Forth Valley,42,"4,820","2,370","2,450"
Forth Valley,43,"4,861","2,376","2,485"
Forth Valley,44,"4,776","2,334","2,442"
Forth Valley,45,"4,812","2,321","2,491"
Forth Valley,46,"4,950","2,475","2,475"
Forth Valley,47,"4,804","2,366","2,438"
Forth Valley,48,"4,621","2,279","2,342"
